Acronym,Definition
TOA,table of allowance
TOC,tactical operations center
TOD,tactical ocean data
TOF,time of flight
TOI,track of interest
TOPINT,technical operational intelligence
TOR,term of reference
TOS,time on station
TOT,time on target
TP,transportation priority
TPE,theater provided equipment
TPED,"tasking, processing, exploitation, and dissemination"
TPFDD,time-phased force and deployment data
TPFDL,time-phased force and deployment list
TPMRC,theater patient movement requirements center
TPT,tactical petroleum terminal
TQ,tactical questioning
TRA,technical review authority
TRAC2ES,United States Transportation Command Regulating and Command and Control Evacuation System
TRADOC,United States Army Training and Doctrine Command
Trans BDE,transportation brigade
Trans Det RPO,transportation detachment rapid port opening
TRANSEC,transmission security
TRAP,tactical recovery of aircraft and personnel (Marine Corps)
TRIADS,Tri-Wall Aerial Distribution System
TRICON,triple container
TRO,training and readiness oversight
TROPO,tropospheric scatter
TRP,target reference point
TS,time-sensitive
TSA,target system analysis
TSC,theater security cooperation
TSCM,technical surveillance countermeasures
TSCP,theater security cooperation plan
TSOC,tactical special operations command
TSS,target sensing system
TSSA,transitional security sector assistance
TST,terminal support team
TSWA,temporary secure working area
TT&C,"telemetry, tracking, and commanding"
TTAB,Technical Training Acceptance Board
TTAN,transportation tracking account number
TTD,tactical terrain data
TTL,"tagging, tracking, and locating"
TTN,transportation tracking number
TTP,"tactics, techniques, and procedures"
TTT,time to target
TTU,transportation terminal unit
TU,task unit
TUCHA,type unit characteristics file
TV,television
TVA,Tennessee Valley Authority
TW&A,threat warning and assessment
TWCF,Transportation Working Capital Fund
TWDS,tactical water distribution system
TYCOM,type commander
UA,unmanned aircraft
UAR,unconventional assisted recovery
UARCC,unconventional assisted recovery coordination cell
UAS,unmanned aircraft system
UAV,unmanned aerial vehicle
UCMJ,Uniform Code of Military Justice
UCP,Unified Command Plan
UCT,underwater construction team
UDL,unit deployment list
UEWR,upgraded early warning radar
UFAC,Underground Facilities Analysis Center
UFC,Unified Facilities Criteria
UFO,ultrahigh frequency follow-on
UGA,ungoverned area
UGIRH,Urban Generic Information Requirements Handbook
UGO,unified geospatial-intelligence operations
UHF,ultrahigh frequency
UIC,unit identification code
UJTL,Universal Joint Task List
UK,United Kingdom
ULN,unit line number
ULSD,ultra-low sulfur diesel
UMCC,unit movement control center
UMCM,underwater mine countermeasures
UMD,unit movement data
UMMIPS,uniform material movement and issue priority system
UMO,unit movement officer
UMS,unmanned system
UN,United Nations
UN-DMT,United Nations disaster management team
UNCLOS,United Nations Convention on the Law of the Sea
UN CMCoord,United Nations humanitarian civil-military coordination
UNCT,United Nations country team
UND,urgency of need designator
UNDAC,United Nations disaster assessment and coordination
UNDFS,United Nations Department of Field Support
UNDP,United Nations Development Programme
UNDPKO,United Nations Department of Peacekeeping Operations
UNEP,United Nations environment programme
UNHAS,United Nations Humanitarian Air Service
UNHCHR,United Nations High Commissioner for Human Rights
UNHCR,United Nations High Commissioner for Refugees
UNHQ,United Nations Headquarters
UNICEF,United Nations Children's Fund
UNITAF,unified task force
UNMEM,United Nations military expert on mission
UNO,unit number
UNOCHA,United Nations Office for the Coordination of Humanitarian Affairs
UNODC,United Nations Office on Drugs and Crime
UNOSOM,United Nations Operations in Somalia
UNPA,United Nations Participation Act
UNPROFOR,United Nations protection force
UNSC,United Nations Security Council
UNSCR,United Nations Security Council resolution
UNSG,United Nations Secretary-General
UON,urgent operational need
UP&TT,unit personnel and tonnage table
URL,uniform resource locater
URN,unit reference number
US&R,urban search and rescue
USA,United States Army
USACE,United States Army Corps of Engineers
USACFSC,United States Army Community and Family Support Center
USACHPPM,United States Army Center for Health Promotion and Preventive Medicine
USACIDC,United States Army Criminal Investigation Command
USAEDS,United States Atomic Energy Detection System
USAF,United States Air Force
USAFE,United States Air Forces in Europe
USAFR,United States Air Force Reserve
USAFRICOM,United States Africa Command
USAFSOS,United States Air Force Special Operations School
USAID,United States Agency for International Development
USAMC,United States Army Materiel Command
USAMMA,United States Army Medical Materiel Agency
USAMRICD,United States Army Medical Research Institute of Chemical Defense
USAMRIID,United States Army Medical Research Institute of Infectious Diseases
USAMRMC,United States Army Medical Research and Materiel Command
USAR,United States Army Reserve
USARCENT,"United States Army, Central Command"
USARDECOM,"United States Army Research, Development, and Engineering Command"
USAREUR,"United States Army, European Command"
USARNORTH,"United States Army, North"
USARPAC,"United States Army, Pacific Command"
USARSO,"United States Army, Southern Command"
USASMDC/ARSTRAT,United States Army Space and Missile Defense Command/Army Forces Strategic Command
USASOC,United States Army Special Operations Command
USC,United States Code
USCENTCOM,United States Central Command
USCG,United States Coast Guard
USCGR,United States Coast Guard Reserve
USCIS,United States Citizenship and Immigration Services
USCS,United States Cryptologic System
USCYBERCOM,United States Cyber Command
USD(AT&L),"Under Secretary of Defense for Acquisition, Technology, and Logistics"
USD(C),Under Secretary of Defense (Comptroller)
USD(I),Under Secretary of Defense for Intelligence
USD(P&R),Under Secretary of Defense for Personnel and Readiness
USD(P),Under Secretary of Defense for Policy
USDA,United States Department of Agriculture
USD(A&T),Under Secretary of Defense for Acquisition and Technology
USDAO,United States defense attache office
USELEMNORAD,"United States Element, North American Aerospace Defense Command"
USERID,user identification
USERRA,Uniformed Services Employment and Reemployment Rights Act 
USEUCOM,United States European Command
USFF,United States Fleet Forces Command
USFK,"United States Forces, Korea"
USG,United States Government
USGS,United States Geological Survey
USIP,United States Institute of Peace
USLO,United States liaison office
USMARFORNORTH,United States Marine Corps Forces North
USMC,United States Marine Corps
USMCR,United States Marine Corps Reserve
USMILGP,United States military group
USML,United States Munitions List
USMOG-W,United States Military Observer Group - Washington
USMS,United States Marshals Service
USMTF,United States message text format
USN,United States Navy
USNAVSO,US Naval Forces Southern Command
USNMR,United States national military representative
USNO,United States Naval Observatory
USNORTHCOM,United States Northern Command
USNR,United States Navy Reserve
USNS,United States Naval Ship
USPACOM,United States Pacific Command
USPHS,United States Public Health Service (DHHS)
USPS,United States Postal Service
USSOCOM,United States Special Operations Command
USSOUTHCOM,United States Southern Command
USSS,United States Secret Service (Treasury)
USSTRATCOM,United States Strategic Command
USTRANSCOM,United States Transportation Command
USUN,United States Mission to the United Nations
USW,undersea warfare
USYG,under secretary general
UTC,Coordinated Universal Time
UTM,universal transverse mercator
UTO,unit table of organization
UUV,unmanned underwater vehicle
UW,unconventional warfare
UXO,unexploded explosive ordnance
VA,Department of Veterans Affairs
VAAP,vulnerability assessment and assistance program
VBIED,vehicle-borne improvised explosive device
VBSS,"visit, board, search, and seizure"
VCJCS,Vice Chairman of the Joint Chiefs of Staff
VDL,video downlink
VE,vertical error
VEE,Venezuelan equine encephalitis
VEO,violent extremist organization
VERTREP,vertical replenishment
VFR,visual flight rules
VFS,validating flight surgeon
VHF,very high frequency
VI,visual information
VID,visual identification
VIP,very important person
VIPPSA,very important personnel protection support activity
VIRIN,visual information record identification number
VIRS,verbally initiated release system
VISA,Voluntary Intermodal Sealift Agreement
VISION ID,visual information professional identifier
VLF,very low frequency
VMap,vector map
VMAQ,Marine tactical electronic warfare squadron
VMC,visual meteorological conditions
VMF,variable message format
VMI,vendor managed inventory
VOD,vertical onboard delivery
VPV,virtual prime vendor
VS&PT,vehicle summary and priority table
VSW,very shallow water
VTA,voluntary tanker agreement
VTC,video teleconferencing
VTOL,vertical takeoff and landing
VTOL-UAS,vertical takeoff and landing unmanned aircraft system
WADS,Western Air Defense Sector
WAI,weather area of interest
WAN,wide-area network
WANGO,World Association of Non-Governmental Organizations 
WARM,wartime reserve mode
WARNORD,warning order
WARP,web-based access and retrieval portal
WAS,wide area surveillance
WASP,war air service program
WB,wideband
WBGTI,wet bulb globe temperature index
WBIED,waterborne improvised explosive device
WCE,weapons of mass destruction coordination element
WCO,World Customs Organization
WCS,weapons control status
WDCO,well deck control officer
Web SM,Web scheduling and movement
WETM,weather team
WEU,Western European Union
WEZ,weapon engagement zone
WFP,World Food Programme (UN)
WG,working group
WGS,Wideband Global Satellite Communications
WGS 84,World Geodetic System 1984
WHNS,wartime host-nation support
WHO,World Health Organization (UN)
WIA,wounded in action
WIF,Wales Initiative Fund
WIT,weapons intelligence team
WLG,Washington Liaison Group
WMD,weapons of mass destruction
WMD-CST,weapons of mass destruction-civil support team
WMO,World Meteorological Organization
WMP,Air Force War and Mobilization Plan
WOC,wing operations center (USAF)
WOD,wind-over deck
WOT,war on terrorism
WP,white phosphorous
WPB,Coast Guard patrol boat
WPR,War Powers Resolution
WRA,Office of Weapons Removal and Abatement (DOS)
WRAIR,Walter Reed Army Institute of Research
WRM,war reserve materiel
WRS,war reserve stock
WRSA,war reserve stocks for allies
WS,weather squadron
WSESRB,Weapon System Explosive Safety Review Board
WSM,waterspace management
WSR,weapon system reliability
WSV,weapons system video
WT,warping tug
WTI,weapons technical intelligence
WWII,World War II
WWX,worldwide express
WX,weather
XCDS,Extracted Container Delivery System
XCVR,transceiver
XMPP,extensible messaging and presence protocol
XO,executive officer
YR,year
ZF,zone of fire
ZULU,time zone indicator for Universal Time
1MC,general announcing system
1NCD,1st Naval Construction Division
1NCD,First Naval Construction Division
1st IOC,1st Information Operations Command (Land)
2-D,two-dimensional
2E,Role 2 enhanced
2LM,Role 2 light maneuver
2X,counterintelligence and human intelligence staff element
3-D,three-dimensional
618 AOC (TACC),618 Air Operations Center (Tanker Airlift Control Center) 
A-3, operations staff officer (Air Force)
AA, avenue of approach
AAA, arrival and assembly area
AAR, after action review
AAR, air-to-air refueling area
ACA, airspace control authority
ACA, airspace coordination area
ACC, area coordination center
ACE, aviation combat element (USMC)
ACO, airspace control order
ACP, Allied communications publication
ACS, airspace control system
ACT, Allied Command Transformation
AD, area denial
AD, automatic distribution
ADA, Antideficiency Act
ADC, area damage control
ADP, automated data processing
ADS, air defense sector
ADS, amphibian discharge site
ADS, authoritative data source
AE, assault echelon
AF, Air Force (form)
AF, amphibious force
AFSB, Army field support brigade
AI, air interdiction
AIT, automatic identification technology
AMC, Air Mobility Command
AMD, air mobility division
AMS, air mobility squadron
AMS, Asset Management System
AO, air officer
AO, area of operations
AP, antipersonnel
AR, Army regulation
ARC, American Red Cross
ARG, amphibious ready group
ARM, antiradiation missile
ASCC, Army Service component commander
ASLT, assault support landing table
ASM, Army Spectrum Manager
ATF," Bureau of Alcohol, Tobacco, Firearms, and Explosives (DOJ)"
ATO, antiterrorism officer
ATP, allied tactical publication
ATP, Army tactical publication
ATP, Army technical publication
ATP, Army techniques publication
BM, beach module
BSA, brigade support area
CA, civil administration
CA, civil affairs
CA, combat assessment
CA, coordinating altitude
CA, credibility assessment
CA, criticality assessment
CAA, command arrangement agreement
CAD, contract administration delegation 
CAF, combat air forces
CAF," commander, airborne/air assault force"
CAF," commander, amphibious force"
CAF, Conflict Assessment Framework (USAID)
CAL, critical asset list
CAO, civil affairs operations
CAO, controlled asset operation
CAP, civil augmentation program
CAP, combat air patrol
CAP, crisis action planning
CAT, civil affairs team
CAT, crisis action team
CBP, Customs and Border Protection (DHS)
CC, critical capability
CCA, combat cargo assistant
CCA, contract construction agent
CCO, combat cargo officer
CCO, container control officer
CCO, contingency contracting officer
CCP, consolidated cryptologic program
CCP, consolidation and containerization point
CCS, commander’s communication synchronization
CCS, core capability set
CD, counterdrug
CD, customer direct
CDS, Chief of Defence Staff (Canada)
CDS, container delivery system
CE, command element (USMC)
CE, communications-electronics
CE, core element
CE, counterespionage
CE, critical element
CERT, contingency engineering response team
CF, causeway ferry
CF, conventional forces
CG, commanding general
CHE, container-handling equipment
CI, counterintelligence
CIB, controlled image base
CIE, cultural intelligence element
CIL, critical information list
CIL, critical item list
CIM, compartmented information management
CIO, command intelligence officer
CJTF," commander, joint task force"
CLF," commander, landing force"
CLZ," landing craft, air cushion landing zone"
CM, collection manager
CM, combination module
CM, countermine
CM, cruise missile
CMC, Office of Civilian-Military Cooperation (USAID)
CMO, collection management office(r)
CMOC, civil-military operations center
CMOS, Cargo Movement Operations System (USAF)
CO, cyberspace operations
COD, combat operations division
COE, concept of employment
COF, conduct of fire
COG, continuity of government
COIC, Counter-Improvised Explosive Device Operations/Intelligence Integration Center (JIEDDO)
COM, collection operations management
CONCAP, construction capabilities contract program
CONPLAN, operation plan in concept format
COTS, commercial off-the-shelf
CP, command post
CP, contact point
CP, control point
CP, counterproliferation
CR, critical requirement
CRA, coordinating review authority
CRC, coastal riverine company
CRC, control and reporting center
CRC, crisis reaction center
CRF, contingency response force
CRM, comment resolution matrix
CRT, contingency response team
CS, circuit switch
CS, combat support
CS, critical source
CSC, International Convention for Safe Containers
CSE, contingency support element
CSE, cyberspace support element
CSEL, command senior enlisted leader
CSG, cryptologic services group
CSG, Cryptologic Support Group
CSO, Center for Special Operations (USSOCOM)
CSP, career sea pay
CSP," causeway section, powered"
CSP, contracting support plan
CSS, combat service support
CT, counterterrorism
CT, country team
CTF, counter threat finance 
CTS, Contingency Tracking System
CTS, controlled technical services
CV, critical vulnerability
CW, continuous wave
CWC, composite warfare commander
DA, direct action
DA, Directorate for Mission Services (DIA)
DA, double agent
DAC, Development Assistance Committee (OECD)
DC, direct current
DC, dislocated civilian
DCA, defensive counterair
DCI, Director of Central Intelligence
DCO, defense coordinating officer
DCO, defensive cyberspace operations
DCP, detainee collection point
DCS, deputy chief of staff
DD, deputy director
DE, directed energy
DF, direction finding
DFE, Defense Joint Intelligence Operations Center forward element
DHS, Department of Homeland Security
DI, DIA Directorate for Intelligence Production
DIB, defense institution building
DMDC, Defense Manpower Data Center
DNI, Director of Naval Intelligence
DOC, designed operational capability
DOS, denial of service
DOS, Department of State
DP, displaced person
DPA, Defense Production Act
DPC, Defense Planning Committee (NATO)
DPO, distribution process owner
DR, disaster relief
DS, direct support
DSC, dual-status commander
DSCA, defense support of civil authorities
DSF, District Stability Framework (USAID)
DSO, defensive systems officer
DSS, Distribution Standard System
DST, Defense Logistics Agency support team
DST, deployment support team
DST, district support team
DTD, detailed troop decontamination
DTS, Defense Travel System
DVD, digital video disc
EA, emergency action
EA, executive agent
ECC, evacuation control center
ECM, electronic countermeasures
EDA, excess defense articles
EED, emergency-essential designation
EM, emergency management
EMI, electromagnetic interference
EMS, emergency medical services
EMT, expeditionary military information support team
EO, executive order
EOB, electronic order of battle
EOB, enemy order of battle
EOC, emergency operations center
EP, emergency preparedness
EP, emergency procedures
EP, excess property
EP, execution planning
EPA, evasion plan of action
ERC, exercise related construction
ERT, engineer reconnaissance team
ES, executive secretariat
ES, expeditionary salvage
ESF, emergency support function
ESG, expeditionary strike group
ESO, Expeditionary Support Organization (DFAS)
EW, electronic warfare
FA, field artillery
FAA, Foreign Assistance Act
FACT, field assessment and coordination team
FAH, foreign affairs handbook
FAO, foreign area officer
FAR, formal assessment report
FARC, Revolutionary Armed Forces of Colombia
FAS, frequency assignment subcommittee
FC, fires cell (Army)
FC, floating causeway
FCC, functional combatant commander
FD, from temporary duty
FDO, flight deck officer
FDO, foreign disclosure officer
FEST, forward engineer support team
FFE, flame field expedient
FFP, Office of Food for Peace (DOS) 
FGS, Force Generation Service (UN)
FHA, foreign humanitarian assistance
FIE, foreign intelligence entity
FIST, fleet intelligence support team
FM, financial management
FM, force module
FM, frequency modulation
FMO, functional manager office
FMS, foreign military sales
FOD, foreign object damage
FOS, full operational status
FP, force protection
FPD, foreign post differential
FSB, forward staging base
FSC, fire support coordinator (USMC)
FSS, fire support station
ft, foot
G-2," Army or Marine Corps component intelligence staff officer (Army division or higher staff, Marine Corps brigade or higher staff)"
G-3," assistant chief of staff, operations"
G-6, assistant chief of staff for communications
G-6, signal staff officer (Army)
G-7," assistant chief of staff, information engagement"
G-4, Assistant Chief of Staff for Logistics
GBS, Global Broadcast System
GC, Geneva Convention Relative to the Protection of Civilian Persons in Time of War
GCC, global contingency construction
GCM, Global Information Grid (GIG) Content Management
GCP, ground commander's pointer
GFM, global freight management
GFS, government-furnished support
GPC, government purchase card
GPM, global pallet manager
GS, general support
GSR, ground surveillance radar
HA, humanitarian assistance
HC, humanitarian coordinator
HCA, humanitarian and civic assistance
HD, homeland defense
HDC, helicopter direction center
HOC, humanitarian operations center
HR, hostage rescue
HRC, Human Resources Command
HRP, human remains pouch
HS, helicopter antisubmarine (Navy)
HS, homeland security
HSC, Homeland Security Council
HSI, Office of Homeland Security Investigations (DHS)
IA, implementing arrangement
IA, individual augmentee
IA, information assurance
IAA, incident awareness and assessment
IAP, integrated assessment and planning
IAP, international airport
IBS, integrated broadcast service
IBS, Integrated Broadcast System
IC, intelligence community
ICC, Intelligence Coordination Center (USCG)
ICC, International Criminal Court
ICP, inventory control point
ICS, integrated country strategy
ID, identifier
ID, initiating directive
IDM, information dissemination management
IDP, imminent danger pay
IDP, internally displaced person
IFO, intermediate fuel oil
IIP, interagency implementation plan
ILO, International Labor Organization (UN)
IM, intermediate module
IMM, intelligence mission management
IMO, International Maritime Organization
IMP, inventory management plan
IMS, interagency management system
IMS, Interagency Management System for Reconstruction and Stabilization
IP, initial position
IP, intelligence planning
IP, Internet protocol
IPC, interagency planning cell
IPC, interagency policy committee
IPS, Interim Polar System
IPT, Integrated Product Team
IPT, intelligence planning team
IR, information requirement
IR, infrared
IR, intelligence requirement
IRC, internet relay chat
IS, information system
ISA, international standardization agreement
ISN, internment serial number 
ISO, isolation
IT, information technology
IWG, interagency working group
J-7, Joint Staff Directorate for Joint Force Development
J-7, operational plans and interoperability directorate of a joint staff
J-7, training directorate of a joint staff
J-8," force structure, resource, and assessment directorate of a joint staff"
JCC, joint contracting center
JCC, joint cyberspace center
JCCC, joint communications control center
JCMEC, Joint Captured Materiel Exploitation Center (DIA)
JCN, joint communications node
JCSE, Joint Communications Support Element (USTRANSCOM)
JDN, joint doctrine note
JET, Joint Operation Planning and Execution System editing tool
JFO, joint fires observer
JFP, Joint Frequency Panel (MCEB)
JIA, joint individual augmentee
JLCC, joint logistics coordination center
JMO, joint meteorological and oceanographic officer
JMO, joint munitions office
JPAC, Joint POW/MIA Accounting Command
JPASE, Joint Public Affairs Support Element (USTRANSCOM)
JPO, Joint Program Office
JPOC, joint planning orientation course
JSC, Joint Spectrum Center
JSOAC, joint special operations aviation component
JTMD, Joint Terminology Master Database
JTMS, joint training master schedule
JTP, joint training plan
kt, knot (nautical miles per hour)
LA, legal adviser
LAD, launch area denied
LCC, land component commander
LCC, lighterage control center
LCM, letter-class mail
LCM, life-cycle management
LD, line of departure
LE, low-order explosives
LEO, low Earth orbit
LGM, loop group multiplexer
LN, local national
LOA, letter of authorization
LOA, letter of offer and acceptance
LOA, logistics over-the-shore operation area
LOE, line of effort
LPD, low probability of detection
LSA, logistics supportability analysis
LSE, logistic support element
LSS, logistics support system
LSS," low, slow, and small"
MAG, maritime assessment group
MAG, military assignment group
MC, mission-critical
MC, mobile communications
MCA, military civic action
MCA, movement control agency
MCC, military coordinating committee
MCC, military counterintelligence collections
MCC, mission control center
MCC, mobility control center
MCC, movement control center
MCIP, military customs inspection program
MCM, Manual for Courts-Martial
MCM, military committee memorandum (memorandum issued in the name of the Chairman)
MCM, mine countermeasures 
MCO, Mapping Customer Operations (Defense Logistics Agency)
MCO, Marine Corps order
MD, moderate damage
MDA, Missile Defense Agency
MDS, mobile diving and salvage
MEA, munitions effectiveness assessment
MEB, Marine expeditionary brigade
MEO, military equal opportunity
MHS, Military Health System
MI, movement instructions
MIDB, modernized intelligence database
MNL, multinational logistics
MOB, mobilization
MOBREP, mobilization report
MOC, media operations center
MOD, modification
MOP, memorandum of policy
MP, multinational publication
MPA, mission planning agent
MPAT, Multinational Planning Augmentation Team
MPS, Military Planning Service (UN)
MPS, Military Postal Service
MRO, materiel release order
MRO, medical regulating office
MRO, medical regulating officer
MSC, Military Sealift Command
MSF, mobile security force
MSG, message
MSL, military shipping label 
MSO, maritime security operations
MSO, military source operation
MSO, military strategic objective
MSO, military support operations
MSP, master space plan
MSP, mission support plan
MSR, mission support request
MTF, military information support operations task force
MTP, mission tasking packet
MTS, Movement Tracking System
N-2, Navy component intelligence staff officer
NAF, numbered air force
NAR, notice of ammunition reclassification
NARAC, National Atmospheric Release Advisory Center (DOE)
NAVSOC, naval special operations command
NCC, Navy component commander
NCO, noncommissioned officer
NCR, naval construction regiment
NCRCC, United States Northern Command Rescue Coordination Center
NCS, National Communications System
NCS, net control station
NMCS," not mission capable, supply"
NOC, network operations center
NPS, nonprior service
NRC, non-unit-related cargo
NSA, national shipping authority
NSA, North Atlantic Treaty Organization (NATO) Standardization Agency
NSD, National Security Division (FBI)
NSF, National Strike Force (USCG)
NSS, national security strategy
NSS, national security system
NTM, notice to mariners
OA, operational area
OAS, Organization of American States
OBA, oxygen breathing apparatus
OCA, operational control authority
OCO, offload control officer
OEG, operational exposure guidance
OEG, operations security executive group
OI, operational interest
OIA, Office of International Affairs (Treasury)
OP, ordnance publication
OPFOR, opposition force
OPP, orderwire patch panel
OS, operating system
OSC, on-scene commander
OSC, on-site commander
OSC, Open Source Center (CIA)
OSINT, open-source intelligence
OTC, over the counter
PA, primary agency
PA, probability of arrival
PA, public affairs
PAO, public affairs officer
PAX, public affairs plans
PBA, production base analysis
PC, preliminary coordination
PC, Principals Committee
PCC, policy coordination committee
PCO, procuring contracting officer
PCS, primary control ship 
PD, priority designator
PD, probability of damage
PD, probability of detection
PD, program directive
PD, public diplomacy
PE, preparation of the environment
PE, program element
PEO, program executive office
PI, point of impact
PI, purposeful interference
PID, positive identification
PM, patient movement
PM, peacemaking
PM, preventive medicine
PM, program management
PM, program manager
PM, provost marshal
PMI, prevention of mutual interference
PMO, program management office
PMR, patient movement requirement
PO, petty officer
POD, port of debarkation
POD, probability of detection
POE, port of entry
POLAD, political advisor 
POS, Point-of-Service
POS, probability of success
PR, Phoenix Raven
PR, production requirement
PR, program review
PRA, primary review authority
PRC, Presidential Reserve Call-up
PRC, primary receiving center
PRCC, personnel recovery coordination center
PRD, Presidential review directive
PREPO, pre-positioning
PRT, provincial reconstruction team
PSA, principal staff assistant
PSO, post security officer
PWRS, pre-positioned war reserve stock
QRF, quick response force
RA, risk analysis
RA, risk assessment
RAM, random antiterrorism measure
RAM," rockets, artillery, and mortars"
RC, resident coordinator (UN)
RCC, rescue coordination center
RCT, rescue coordination team (Navy)
RDD, required delivery date
RF, reserve force
RFA, restrictive fire area
RFC, revision final coordination
RFF, request for forces
RFI, request for information
RFS, request for support
RM, recovery mechanism
RM, resource management
RM, risk management
ROM, rough order of magnitude
RP, retained personnel
RRF, Ready Reserve Force
RSC, rescue sub-center
RSO, regional security officer
RSO, remote split operations
RT, rough terrain
S&T, scientific and technical
S-3, Marine Corps battalion or regiment)
SA, situational awareness
SA, staging area
SAC, supporting arms coordinator
SAFE, selected area for evasion
SAFE, sexual assault forensic examination
SAO, security assistance officer
SAR, search and rescue
SAR, special access requirement
SAR, suspicious activity report
SAR, synthetic aperture radar
SC, strategic communication
SCA, space coordinating authority
SCA, support to civil administration
SCC, shipping coordination center
SCM, Service container manager
SCO, security cooperation organization
SCO, senior contracting official
SCO, state coordinating officer
SCP, service control point
SD, strategy division
SDB, small diameter bomb
SDO, ship's debarkation officer
SE, spherical error
SEA, Southeast Asia
SF, special forces
SF, standard form
SG, surgeon general
SIR, Strategic Military Intelligence Review
SLCP, ship's loading characteristics pamphlet
SM, standard missile
SMO, strategic mobility office(r)
SOA, sustained operations ashore
SOD, special operations division
SOW, standoff weapon
SOW, statement of work
SPI, special investigative (USAF)
SPM, single port manager
SPP, State Partnership Program
SSA, software support activity
SSA, space situational awareness
SSA, special support activity (NSA)
SSA, supply support activity
SSC, special security center
ST, strike team
TA, target audience
TA, technical arrangement
TA, theater Army
TA, threat assessment
TAA, target audience analysis
TACS, theater air control system
TAD, temporary additional duty (non-unit-related personnel)
TAD, theater air defense
TAG, the adjutant general
TAT, technical assistance team
TCC, troop contributing country
TCM, theater container manager
TCN, transportation control number
TCN, troop contributing nations
TCO, transnational criminal organization
TD, theater distribution
TD, tie down
TDN, target development nomination
TEU, twenty-foot equivalent unit
TFE, threat finance exploitation
TIB, toxic industrial biological
TIC, toxic industrial chemical
TIP, trafficking in persons
TLM, topographic line map
TM, technical manual
TMAO, theater mortuary affairs officer
TMO, transportation management office
TO, theater of operations
TPED, theater personal effects depot
TRAP, tactical related applications
TS, top secret
TSA, Transportation Security Administration (DHS)
TSC, theater support command
TSC, theater sustainment command (Army)
TSOC, theater special operations command
TST, time-sensitive target
TTP, trailer transfer point
USC, universal service contract
UTC, unit type code
UUV, unmanned underwater vessel
UXO, unexploded ordnance
VA, victim advocate
VA, vulnerability assessment
WP, working party
WRA, weapons release authority
