Definition,Acronym
Navy construction engineer,Seabee
suppression of enemy air defenses,SEAD
submarine element coordinator,SEC
Secretary of the Air Force,SECAF
Secretary of the Army,SECARMY
Secretary of Defense,SecDef
Secretary of the Department of Homeland Security,SECDHS
Secretary of Homeland Security,SECHS
Secretary of the Navy,SECNAV
Secretary of the Navy instruction,SECNAVINST
secure en route communications package,SECOMP
Secretary of State,SECSTATE
Secretary of Transportation,SECTRANS
sealift enhancement feature,SEF
senior enlisted leader,SEL
special electronic mission aircraft,SEMA
state emergency preparedness liaison officer,SEPLO
"survival, evasion, resistance, and escape",SERE
senior executive service,SES
shared early warning,SEW
signals intelligence/electronic warfare operations centre (NATO),SEWOC
security force; special forces; standard form,SF
security force assistance,SFA
standard frequency action format,SFAF
spectrum flyaway team,SFAT
single-fuel concept,SFC
shore fire control party,SFCP
special forces group,SFG
special forces medical sergeant,SFMS
Stabilization Force,SFOR
steering group; surgeon general,SG
strategic guidance statement,SGS
"Headquarters, Air Mobility Command/Surgeon",SGXM
"Supreme Headquarters Allied Powers, Europe",SHAPE
super-high frequency,SHF
short-range air defense,SHORAD
short-range air defense engagement zone,SHORADEZ
United States Strategic Command strategic instruction,SI
supporting intelligence center,SIC
sector interface control officer,SICO
senior intelligence duty officer,SIDO
selective identification feature,SIF
signals intelligence,SIGINT
system impact message,SIM
single integrated medical logistics manager,SIMLM
single-channel ground and airborne radio system,SINCGARS
senior intelligence officer,SIO
Strategic Information and Operations Center (FBI),SIOC
SECRET Internet Protocol Router Network,SIPRNET
specific information requirement; Strategic Military Intelligence Review,SIR
special interest target,SIT
situation report,SITREP
special interest vessel,SIV
staff judge advocate,SJA
standing joint force headquarters (core element),SJFHQ(CE)
standing joint force headquarters - elimination,SJFHQ-E
space joint operating area,SJOA
"Secretary, Joint Staff",SJS
special leave accrual ,SLA
submarine-launched ballistic missile,SLBM
sea-launched cruise missile,SLCM
ship lighterage control point; ship's loading characteristics pamphlet,SLCP
space liaison officer,SLO
sea line of communications,SLOC
"survey, liaison, and reconnaissance party",SLRP
shoot-look-shoot,SLS
side loadable warping tug,SLWT
spectrum management; standard missile,SM
spectrum management branch,SMB
search and rescue mission coordinator,SMC
single manager for conventional ammunition,SMCA
surface mine countermeasures,SMCM
subject matter expert,SME
senior meteorological and oceanographic officer; strategic mobility office(r),SMO
Specialized Medical Response Capabilities,SMRC
Single Mobility System,SMS
special mission unit,SMU
Surface and Mine Warfighting Development Center,SMWDC
serial number,SN
social network analysis,SNA
staff noncommissioned officer,SNCO
strategic nuclear forces,SNF
special operations aviation (Army); sustained operations ashore,SOA
special operations air-ground system,SOAGS
special operations commander,SOC
special operations command-forward,SOC-FWD
special operations command and control element,SOCCE
special operations critical care evacuation team,SOCCET
special operations combat medic,SOCM
"Special Operations Command, Pacific",SOCPAC
space operations directive; special operations division,SOD
special operations executive,SOE
special operations forces,SOF
special operations forces-conventional forces,SOF-CF
status-of-forces agreement,SOFA
special operations forces liaison element,SOFLE
special operations group,SOG
signal operating instructions,SOI
senior officer of the intelligence community,SOIC
special operations joint task force,SOJTF
special operations liaison element,SOLE
special operations liaison officer,SOLO
status of mission agreement,SOMA
Standard Operation and Maintenance Army Research and Development System,SOMARDS
Standard Operation and Maintenance Army Research and Development System Non-Technical,SOMARDS NT
standard operating procedure,SOP
sortie allotment message,SORTIEALOT
Status of Resources and Training System,SORTS
special operations support battalion,SOSB
space object and surveillance identification,SOSI
special operations support team,SOST
signals intelligence operational tasking authority,SOTA
special operations task force,SOTF
special operations wing; standoff weapon; statement of work,SOW
security police,SP
senior procurement executive,SPE
special category,SPECAT
Strategic Planning Guidance,SPG
sensor point of interest; special investigative (USAF),SPI
special instructions,SPINS
service postal manager; single port manager,SPM
special purpose Marine air-ground task force,SPMAGTF
seaport of debarkation,SPOD
seaport of embarkation,SPOE
Synchronized Predeployment and Operational Tracker,SPOT
spot report,SPOTREP
Security and Prosperity Partnership of North America; State Partnership Program,SPP
special reconnaissance,SR
short-range ballistic missile,SRBM
Seabee readiness group,SRG
"surveillance, reconnaissance, and intelligence (Marine Corps)",SRI
"sustainment, restoration, and modernization",SRM
standing rules of engagement,SROE
search and rescue region,SRR
special representative of the Secretary-General,SRSG
standing rules for the use of force,SRUF
steamship,SS
security sector assistance; software support activity; space situational awareness; special support activity (NSA); supply support activity,SSA
single side band,SSB
small scale contingency; special security center,SSC
shipper's service control office,SSCO
space support element,SSE
standing signal instruction,SSI
surface-to-surface missile,SSM
Social Security number,SSN
special security office(r),SSO
single-service postal manager,SSPM
security sector reform,SSR
Selective Service System,SSS
special support team (National Security Agency),SST
"stability, security, transition, and reconstruction",SSTR
space support working group,SSWG
short ton; strike team,ST
standardization agreement (NATO),STANAG
sensitive target approval and review,STAR
Standard Accounting and Reporting System,STARS
Strategic Arms Reduction Treaty,START
standardized tactical entry point,STEP
special technical operations,STO
short takeoff and landing,STOL
short ton,STON
special tactics squadron,STS
special tactics team,STT
secure telephone unit,STU
strike warfare,STW
strike warfare commander,STWC
submarine operating authority,SUBOPAUTH
supplement,SUPP
supply officer,SUPPO
surf observation,SUROBS
sustainment brigade,SUST BDE
surface warfare,SUW
surface warfare commander,SUWC
stored value card,SVC
shallow water,SW
staff weather officer,SWO
Space Weather Prediction Center,SWPC
SPECTRUM XXI,SXXI
SPECTRUM XXI-Online,SXXI-O
Secretary-General (UN),SYG
systems command,SYSCOM
surf zone,SZ
test and evaluation,T&E
auxiliary crane ship,T-ACS
hospital ship,T-AH
aviation logistics support ship,T-AVB
theater-joint transportation board,T-JTB
"type, model, and/or series",T/M/S
technology transfer,T2
target acquisition; target audience; technical arrangement; theater Army; threat assessment,TA
tactical assembly area; target audience analysis,TAA
theater Army area command,TAACOM
theater Army air and missile defense coordinator,TAAMDCOORD
terminal attack control,TAC
tactical air coordinator (airborne),TAC(A)
tactical deception,TAC-D
tactical air,TACAIR
tactical air navigation,TACAN
tanker airlift control center,TACC
tactical-logistical,TACLOG
theater allied contracting office,TACO
tactical control,TACON
tactical operational data,TACOPDAT
tactical air control party,TACP
tactical air control squadron,TACRON
tactical air control system; theater air control system,TACS
tactical satellite,TACSAT
tactical aviation control team,TACT
tactical air direction; temporary additional duty (non-unit-related personnel); theater air defense,TAD
tactical air direction center,TADC
tactical air force,TAF
technical assistance field team,TAFT
technical assistance group; the adjutant general,TAG
theater air-ground system,TAGS
target area of interest,TAI
fast logistics ship,T-AKR
Transitional Assistance Management Program,TAMP
tactical air officer,TAO
tactical air operations center (USMC),TAOC
tactical air request,TAR
target weather and intelligence,TARWI
tasking order,TASKORD
theater antisubmarine warfare commander,TASWC
tactical analysis team; technical assistance team,TAT
tactical air traffic control,TATC
transportation brigade (expeditionary),TB(X)
theater business clearance,TBC
theater ballistic missile,TBM
theater battle management core system,TBMCS
theater ballistic missile defense,TBMD
technical bulletin medical,TB MED
training circular,TC
Transportation Coordinator's Automated Information for Movement System II,TC-AIMS II
traditional combatant commander activity,TCA
transportation component command; troop contributing country,TCC
theater contingency engineering management,TCEM
tactical combat force,TCF
theater construction manager; theater container manager,TCM
transportation control and movement document,TCMD
third country national; transportation control number; troop contributing nations,TCN
termination contracting officer; transnational criminal organization,TCO
theater campaign plan,TCP
"tasking, collection, processing, exploitation, and dissemination",TCPED
theater communications system,TCS
theater consolidation and shipping point,TCSP
temporary duty (USMC); theater distribution; tie down,TD
target development cell,TDC
time-definite delivery,TDD
theater detention facility,TDF
tactical data link,TDL
tactical data network; target development nomination,TDN
theater distribution plan,TDP
theater detainee reporting center,TDRC
temporary duty,TDY
Transportation Engineering Agency,TEA
theater engineer command,TEC
technical control,TECHCON
technical electronic intelligence,TECHELINT
technical intelligence,TECHINT
Terrorist Explosive Device Analytical Center (FBI),TEDAC
transporter-erector-launcher,TEL
tent extendible modular personnel,TEMPER
tactical exploitation of national capabilities program,TENCAP
team embarkation officer,TEO
theater engagement plan,TEP
terrain contour matching,TERCOM
theater event system,TES
targeting effects team,TET
TeleEngineering Toolkit,TETK
technical escort unit; twenty-foot equivalent unit,TEU
Theater Enterprise Wide Logistics System,TEWLS
task force,TF
threat finance cell,TFC
task force counterintelligence coordinating authority,TFCICA
tactical field exchange; threat finance exploitation,TFE
total force fitness,TFF
Transportation Financial Management System-Military,TFMS-M
task group,TG
terminally guided munitions,TGM
terminal guidance operations,TGO
Terminal High Altitude Area Defense,THAAD
terrorist threat condition,THREATCON
tactical human intelligence team,THT
theater express,THX
threat identification,TI
theater intelligence assessment,TIA
theater intelligence brigade; toxic industrial biological,TIB
target information center; toxic industrial chemical,TIC
Terrorist Identities Datamart Environment,TIDE
toxic industrial material,TIM
target intelligence officer,TIO
target intelligence package; trafficking in persons,TIP
toxic industrial radiological,TIR
the judge advocate general,TJAG
theater logistics analysis,TLA
Tomahawk land-attack missile,TLAM
theater lead agent for medical materiel,TLAMM
target location error,TLE
target list management; topographic line map,TLM
theater logistics overview,TLO
target materials; technical manual,TM
theater mortuary affairs office; theater mortuary affairs officer,TMAO
theater missile defense,TMD
theater mortuary evacuation point,TMEP
theater medical information program,TMIP
"transregional, multi-domain, and multi-functional",TMM
traffic management office; transportation management office,TMO
time-phased force and deployment data management tool,TMT
theater network operations control center,TNCC
target nomination list,TNL
technical order; theater of operations,TO
table of organization and equipment,TO&E
table of allowance,TOA
tactical operations center,TOC
tactical ocean data,TOD
time of flight,TOF
track of interest,TOI
technical operational intelligence,TOPINT
term of reference,TOR
time on station,TOS
time on target,TOT
transportation priority,TP
theater provided equipment,TPE
"tasking, processing, exploitation, and dissemination; theater personal effects depot",TPED
time-phased force and deployment data,TPFDD
time-phased force and deployment list,TPFDL
theater patient movement requirements center,TPMRC
tactical petroleum terminal,TPT
tactical questioning,TQ
technical review authority,TRA
United States Transportation Command Regulating and Command and Control Evacuation System,TRAC2ES
United States Army Training and Doctrine Command,TRADOC
transportation brigade,Trans BDE
transportation detachment rapid port opening,Trans Det RPO
transmission security,TRANSEC
tactical recovery of aircraft and personnel (Marine Corps); tactical related applications,TRAP
Tri-Wall Aerial Distribution System,TRIADS
triple container,TRICON
training and readiness oversight,TRO
tropospheric scatter,TROPO
target reference point,TRP
time-sensitive; top secret,TS
target system analysis; Transportation Security Administration (DHS),TSA
theater security cooperation; theater support command; theater sustainment command (Army),TSC
technical surveillance countermeasures,TSCM
theater security cooperation plan,TSCP
tactical special operations command; theater special operations command,TSOC
target sensing system,TSS
transitional security sector assistance,TSSA
terminal support team; time-sensitive target,TST
temporary secure working area,TSWA
"telemetry, tracking, and commanding",TT&C
Technical Training Acceptance Board,TTAB
transportation tracking account number,TTAN
tactical terrain data,TTD
"tagging, tracking, and locating",TTL
transportation tracking number,TTN
"tactics, techniques, and procedures; trailer transfer point",TTP
time to target,TTT
transportation terminal unit,TTU
task unit,TU
type unit characteristics file,TUCHA
television,TV
Tennessee Valley Authority,TVA
threat warning and assessment,TW&A
Transportation Working Capital Fund,TWCF
tactical water distribution system,TWDS
type commander,TYCOM
unmanned aircraft,UA
unconventional assisted recovery,UAR
unconventional assisted recovery coordination cell,UARCC
unmanned aircraft system,UAS
unmanned aerial vehicle,UAV
Uniform Code of Military Justice,UCMJ
Unified Command Plan,UCP
underwater construction team,UCT
unit deployment list,UDL
upgraded early warning radar,UEWR
Underground Facilities Analysis Center,UFAC
Unified Facilities Criteria,UFC
ultrahigh frequency follow-on,UFO
ungoverned area,UGA
Urban Generic Information Requirements Handbook,UGIRH
unified geospatial-intelligence operations,UGO
ultrahigh frequency,UHF
unit identification code,UIC
Universal Joint Task List,UJTL
United Kingdom,UK
unit line number,ULN
ultra-low sulfur diesel,ULSD
unit movement control center,UMCC
underwater mine countermeasures,UMCM
unit movement data,UMD
uniform material movement and issue priority system,UMMIPS
unit movement officer,UMO
unmanned system,UMS
United Nations,UN
United Nations disaster management team,UN-DMT
United Nations Convention on the Law of the Sea,UNCLOS
United Nations humanitarian civil-military coordination,UN CMCoord
United Nations country team,UNCT
urgency of need designator,UND
United Nations disaster assessment and coordination,UNDAC
United Nations Department of Field Support,UNDFS
United Nations Development Programme,UNDP
United Nations Department of Peacekeeping Operations,UNDPKO
United Nations environment programme,UNEP
United Nations Humanitarian Air Service,UNHAS
United Nations High Commissioner for Human Rights,UNHCHR
United Nations High Commissioner for Refugees,UNHCR
United Nations Headquarters,UNHQ
United Nations Children's Fund,UNICEF
unified task force,UNITAF
United Nations military expert on mission,UNMEM
unit number,UNO
United Nations Office for the Coordination of Humanitarian Affairs,UNOCHA
United Nations Office on Drugs and Crime,UNODC
United Nations Operations in Somalia,UNOSOM
United Nations Participation Act,UNPA
United Nations protection force,UNPROFOR
United Nations Security Council,UNSC
United Nations Security Council resolution,UNSCR
United Nations Secretary-General,UNSG
urgent operational need,UON
unit personnel and tonnage table,UP&TT
uniform resource locater,URL
unit reference number,URN
urban search and rescue,US&R
United States Army,USA
United States Army Corps of Engineers,USACE
United States Army Community and Family Support Center,USACFSC
United States Army Center for Health Promotion and Preventive Medicine,USACHPPM
United States Army Criminal Investigation Command,USACIDC
United States Atomic Energy Detection System,USAEDS
United States Air Force,USAF
United States Air Forces in Europe,USAFE
United States Air Force Reserve,USAFR
United States Africa Command,USAFRICOM
United States Air Force Special Operations School,USAFSOS
United States Agency for International Development,USAID
United States Army Materiel Command,USAMC
United States Army Medical Materiel Agency,USAMMA
United States Army Medical Research Institute of Chemical Defense,USAMRICD
United States Army Medical Research Institute of Infectious Diseases,USAMRIID
United States Army Medical Research and Materiel Command,USAMRMC
United States Army Reserve,USAR
"United States Army, Central Command",USARCENT
"United States Army Research, Development, and Engineering Command",USARDECOM
"United States Army, European Command",USAREUR
"United States Army, North",USARNORTH
"United States Army, Pacific Command",USARPAC
"United States Army, Southern Command",USARSO
United States Army Space and Missile Defense Command/Army Forces Strategic Command,USASMDC/ARSTRAT
United States Army Special Operations Command,USASOC
United States Code; universal service contract,USC
United States Central Command,USCENTCOM
United States Coast Guard,USCG
United States Coast Guard Reserve,USCGR
United States Citizenship and Immigration Services,USCIS
United States Cryptologic System,USCS
United States Cyber Command,USCYBERCOM
"Under Secretary of Defense for Acquisition, Technology, and Logistics",USD(AT&L)
Under Secretary of Defense (Comptroller),USD(C)
Under Secretary of Defense for Intelligence,USD(I)
Under Secretary of Defense for Personnel and Readiness,USD(P&R)
Under Secretary of Defense for Policy,USD(P)
United States Department of Agriculture,USDA
Under Secretary of Defense for Acquisition and Technology,USD(A&T)
United States defense attache office,USDAO
"United States Element, North American Aerospace Defense Command",USELEMNORAD
user identification,USERID
Uniformed Services Employment and Reemployment Rights Act ,USERRA
United States European Command,USEUCOM
United States Fleet Forces Command,USFF
"United States Forces, Korea",USFK
United States Government,USG
United States Geological Survey,USGS
United States Institute of Peace,USIP
United States liaison office,USLO
United States Marine Corps Forces North,USMARFORNORTH
United States Marine Corps,USMC
United States Marine Corps Reserve,USMCR
United States military group,USMILGP
United States Munitions List,USML
United States Military Observer Group - Washington,USMOG-W
United States Marshals Service,USMS
United States message text format,USMTF
United States Navy,USN
US Naval Forces Southern Command,USNAVSO
United States national military representative,USNMR
United States Naval Observatory,USNO
United States Northern Command,USNORTHCOM
United States Navy Reserve,USNR
United States Naval Ship,USNS
United States Pacific Command,USPACOM
United States Public Health Service (DHHS),USPHS
United States Postal Service,USPS
United States Special Operations Command,USSOCOM
United States Southern Command,USSOUTHCOM
United States Secret Service (Treasury),USSS
United States Strategic Command,USSTRATCOM
United States Transportation Command,USTRANSCOM
United States Mission to the United Nations,USUN
undersea warfare,USW
under secretary general,USYG
Coordinated Universal Time; unit type code,UTC
universal transverse mercator,UTM
unit table of organization,UTO
unmanned underwater vehicle; unmanned underwater vessel,UUV
unconventional warfare,UW
unexploded explosive ordnance; unexploded ordnance,UXO
Department of Veterans Affairs; victim advocate; vulnerability assessment,VA
vulnerability assessment and assistance program,VAAP
vehicle-borne improvised explosive device,VBIED
"visit, board, search, and seizure",VBSS
Vice Chairman of the Joint Chiefs of Staff,VCJCS
video downlink,VDL
vertical error,VE
Venezuelan equine encephalitis,VEE
violent extremist organization,VEO
vertical replenishment,VERTREP
visual flight rules,VFR
validating flight surgeon,VFS
very high frequency,VHF
visual information,VI
visual identification,VID
very important person,VIP
very important personnel protection support activity,VIPPSA
visual information record identification number,VIRIN
verbally initiated release system,VIRS
Voluntary Intermodal Sealift Agreement,VISA
visual information professional identifier,VISION ID
very low frequency,VLF
vector map,VMap
Marine tactical electronic warfare squadron,VMAQ
visual meteorological conditions,VMC
variable message format,VMF
vendor managed inventory,VMI
vertical onboard delivery,VOD
virtual prime vendor,VPV
vehicle summary and priority table,VS&PT
very shallow water,VSW
voluntary tanker agreement,VTA
video teleconferencing,VTC
vertical takeoff and landing,VTOL
vertical takeoff and landing unmanned aircraft system,VTOL-UAS
Western Air Defense Sector,WADS
weather area of interest,WAI
wide-area network,WAN
World Association of Non-Governmental Organizations ,WANGO
wartime reserve mode,WARM
warning order,WARNORD
web-based access and retrieval portal,WARP
wide area surveillance,WAS
war air service program,WASP
wideband,WB
wet bulb globe temperature index,WBGTI
waterborne improvised explosive device,WBIED
weapons of mass destruction coordination element,WCE
World Customs Organization,WCO
weapons control status,WCS
well deck control officer,WDCO
Web scheduling and movement,Web SM
weather team,WETM
Western European Union,WEU
weapon engagement zone,WEZ
World Food Programme (UN),WFP
working group,WG
Wideband Global Satellite Communications,WGS
World Geodetic System 1984,WGS 84
wartime host-nation support,WHNS
World Health Organization (UN),WHO
wounded in action,WIA
Wales Initiative Fund,WIF
weapons intelligence team,WIT
Washington Liaison Group,WLG
weapons of mass destruction,WMD
weapons of mass destruction-civil support team,WMD-CST
World Meteorological Organization,WMO
Air Force War and Mobilization Plan,WMP
wing operations center (USAF),WOC
wind-over deck,WOD
war on terrorism,WOT
white phosphorous; working party,WP
Coast Guard patrol boat,WPB
War Powers Resolution,WPR
Office of Weapons Removal and Abatement (DOS); weapons release authority,WRA
Walter Reed Army Institute of Research,WRAIR
war reserve materiel,WRM
war reserve stock,WRS
war reserve stocks for allies,WRSA
weather squadron,WS
Weapon System Explosive Safety Review Board,WSESRB
waterspace management,WSM
weapon system reliability,WSR
weapons system video,WSV
warping tug,WT
weapons technical intelligence,WTI
World War II,WWII
worldwide express,WWX
weather,WX
Extracted Container Delivery System,XCDS
transceiver,XCVR
extensible messaging and presence protocol,XMPP
executive officer,XO
year,YR
zone of fire,ZF
time zone indicator for Universal Time,ZULU
general announcing system,1MC
1st Naval Construction Division,1NCD
First Naval Construction Division,1NCD
1st Information Operations Command (Land),1st IOC
two-dimensional,2-D
Role 2 enhanced,2E
Role 2 light maneuver,2LM
counterintelligence and human intelligence staff element,2X
three-dimensional,3-D
618 Air Operations Center (Tanker Airlift Control Center) ,618 AOC (TACC)
